actor_id,first_name,last_name,last_update
1,PENELOPE,GUINESS,2021-03-06 15:51:59
2,NICK,WAHLBERG,2021-03-06 15:51:59
3,ED,CHASE,2021-03-06 15:51:59
4,JENNIFER,DAVIS,2021-03-06 15:51:59
5,JOHNNY,LOLLOBRIGIDA,2021-03-06 15:51:59
6,BETTE,NICHOLSON,2021-03-06 15:51:59
7,GRACE,MOSTEL,2021-03-06 15:51:59
8,MATTHEW,JOHANSSON,2021-03-06 15:51:59
9,JOE,SWANK,2021-03-06 15:51:59
10,CHRISTIAN,GABLE,2021-03-06 15:51:59
11,ZERO,CAGE,2021-03-06 15:51:59
12,KARL,BERRY,2021-03-06 15:51:59
13,UMA,WOOD,2021-03-06 15:51:59
14,VIVIEN,BERGEN,2021-03-06 15:51:59
15,CUBA,OLIVIER,2021-03-06 15:51:59
16,FRED,COSTNER,2021-03-06 15:51:59
17,HELEN,VOIGHT,2021-03-06 15:51:59
18,DAN,TORN,2021-03-06 15:51:59
19,BOB,FAWCETT,2021-03-06 15:51:59
20,LUCILLE,TRACY,2021-03-06 15:51:59
21,KIRSTEN,PALTROW,2021-03-06 15:51:59
22,ELVIS,MARX,2021-03-06 15:51:59
23,SANDRA,KILMER,2021-03-06 15:51:59
24,CAMERON,STREEP,2021-03-06 15:51:59
25,KEVIN,BLOOM,2021-03-06 15:51:59
26,RIP,CRAWFORD,2021-03-06 15:51:59
27,JULIA,MCQUEEN,2021-03-06 15:51:59
28,WOODY,HOFFMAN,2021-03-06 15:51:59
29,ALEC,WAYNE,2021-03-06 15:51:59
30,SANDRA,PECK,2021-03-06 15:51:59
31,SISSY,SOBIESKI,2021-03-06 15:51:59
32,TIM,HACKMAN,2021-03-06 15:51:59
33,MILLA,PECK,2021-03-06 15:51:59
34,AUDREY,OLIVIER,2021-03-06 15:51:59
35,JUDY,DEAN,2021-03-06 15:51:59
36,BURT,DUKAKIS,2021-03-06 15:51:59
37,VAL,BOLGER,2021-03-06 15:51:59
38,TOM,MCKELLEN,2021-03-06 15:51:59
39,GOLDIE,BRODY,2021-03-06 15:51:59
40,JOHNNY,CAGE,2021-03-06 15:51:59
41,JODIE,DEGENERES,2021-03-06 15:51:59
42,TOM,MIRANDA,2021-03-06 15:51:59
43,KIRK,JOVOVICH,2021-03-06 15:51:59
44,NICK,STALLONE,2021-03-06 15:51:59
45,REESE,KILMER,2021-03-06 15:51:59
46,PARKER,GOLDBERG,2021-03-06 15:51:59
47,JULIA,BARRYMORE,2021-03-06 15:51:59
48,FRANCES,DAY-LEWIS,2021-03-06 15:51:59
49,ANNE,CRONYN,2021-03-06 15:51:59
50,NATALIE,HOPKINS,2021-03-06 15:51:59
51,GARY,PHOENIX,2021-03-06 15:51:59
52,CARMEN,HUNT,2021-03-06 15:51:59
53,MENA,TEMPLE,2021-03-06 15:51:59
54,PENELOPE,PINKETT,2021-03-06 15:51:59
55,FAY,KILMER,2021-03-06 15:51:59
56,DAN,HARRIS,2021-03-06 15:51:59
57,JUDE,CRUISE,2021-03-06 15:51:59
58,CHRISTIAN,AKROYD,2021-03-06 15:51:59
59,DUSTIN,TAUTOU,2021-03-06 15:51:59
60,HENRY,BERRY,2021-03-06 15:51:59
61,CHRISTIAN,NEESON,2021-03-06 15:51:59
62,JAYNE,NEESON,2021-03-06 15:51:59
63,CAMERON,WRAY,2021-03-06 15:51:59
64,RAY,JOHANSSON,2021-03-06 15:51:59
65,ANGELA,HUDSON,2021-03-06 15:51:59
66,MARY,TANDY,2021-03-06 15:51:59
67,JESSICA,BAILEY,2021-03-06 15:51:59
68,RIP,WINSLET,2021-03-06 15:51:59
69,KENNETH,PALTROW,2021-03-06 15:51:59
70,MICHELLE,MCCONAUGHEY,2021-03-06 15:51:59
71,ADAM,GRANT,2021-03-06 15:51:59
72,SEAN,WILLIAMS,2021-03-06 15:51:59
73,GARY,PENN,2021-03-06 15:51:59
74,MILLA,KEITEL,2021-03-06 15:51:59
75,BURT,POSEY,2021-03-06 15:51:59
