category_id,name,last_update
1,Action,2021-03-06 15:52:00
2,Animation,2021-03-06 15:52:00
3,Children,2021-03-06 15:52:00
4,Classics,2021-03-06 15:52:00
5,Comedy,2021-03-06 15:52:00
6,Documentary,2021-03-06 15:52:00
7,Drama,2021-03-06 15:52:00
8,Family,2021-03-06 15:52:00
9,Foreign,2021-03-06 15:52:00
10,Games,2021-03-06 15:52:00
11,Horror,2021-03-06 15:52:00
12,Music,2021-03-06 15:52:00
13,New,2021-03-06 15:52:00
14,Sci-Fi,2021-03-06 15:52:00
15,Sports,2021-03-06 15:52:00
16,Travel,2021-03-06 15:52:00
