city_id,city,country_id,last_update
1,A Corua (La Corua),87,2021-03-06 15:51:49
2,Abha,82,2021-03-06 15:51:49
3,Abu Dhabi,101,2021-03-06 15:51:49
4,Acua,60,2021-03-06 15:51:49
5,Adana,97,2021-03-06 15:51:49
6,Addis Abeba,31,2021-03-06 15:51:49
7,Aden,107,2021-03-06 15:51:49
8,Adoni,44,2021-03-06 15:51:49
9,Ahmadnagar,44,2021-03-06 15:51:49
10,Akishima,50,2021-03-06 15:51:49
11,Akron,103,2021-03-06 15:51:49
12,al-Ayn,101,2021-03-06 15:51:49
13,al-Hawiya,82,2021-03-06 15:51:49
14,al-Manama,11,2021-03-06 15:51:50
15,al-Qadarif,89,2021-03-06 15:51:50
16,al-Qatif,82,2021-03-06 15:51:50
17,Alessandria,49,2021-03-06 15:51:50
18,Allappuzha (Alleppey),44,2021-03-06 15:51:50
19,Allende,60,2021-03-06 15:51:50
20,Almirante Brown,6,2021-03-06 15:51:50
21,Alvorada,15,2021-03-06 15:51:50
22,Ambattur,44,2021-03-06 15:51:50
23,Amersfoort,67,2021-03-06 15:51:50
24,Amroha,44,2021-03-06 15:51:50
25,Angra dos Reis,15,2021-03-06 15:51:50
26,Anpolis,15,2021-03-06 15:51:50
27,Antofagasta,22,2021-03-06 15:51:50
28,Aparecida de Goinia,15,2021-03-06 15:51:50
29,Apeldoorn,67,2021-03-06 15:51:50
30,Araatuba,15,2021-03-06 15:51:50
31,Arak,46,2021-03-06 15:51:50
32,Arecibo,77,2021-03-06 15:51:50
33,Arlington,103,2021-03-06 15:51:50
34,Ashdod,48,2021-03-06 15:51:50
35,Ashgabat,98,2021-03-06 15:51:50
36,Ashqelon,48,2021-03-06 15:51:50
37,Asuncin,73,2021-03-06 15:51:50
38,Athenai,39,2021-03-06 15:51:50
39,Atinsk,80,2021-03-06 15:51:50
40,Atlixco,60,2021-03-06 15:51:50
41,Augusta-Richmond County,103,2021-03-06 15:51:50
42,Aurora,103,2021-03-06 15:51:50
43,Avellaneda,6,2021-03-06 15:51:50
44,Bag,15,2021-03-06 15:51:50
45,Baha Blanca,6,2021-03-06 15:51:50
46,Baicheng,23,2021-03-06 15:51:50
47,Baiyin,23,2021-03-06 15:51:50
48,Baku,10,2021-03-06 15:51:50
49,Balaiha,80,2021-03-06 15:51:50
50,Balikesir,97,2021-03-06 15:51:50
51,Balurghat,44,2021-03-06 15:51:50
52,Bamenda,19,2021-03-06 15:51:50
53,Bandar Seri Begawan,16,2021-03-06 15:51:50
54,Banjul,37,2021-03-06 15:51:50
55,Barcelona,104,2021-03-06 15:51:50
56,Basel,91,2021-03-06 15:51:50
57,Bat Yam,48,2021-03-06 15:51:50
58,Batman,97,2021-03-06 15:51:50
59,Batna,2,2021-03-06 15:51:50
60,Battambang,18,2021-03-06 15:51:50
61,Baybay,75,2021-03-06 15:51:50
62,Bayugan,75,2021-03-06 15:51:50
63,Bchar,2,2021-03-06 15:51:50
64,Beira,63,2021-03-06 15:51:50
65,Bellevue,103,2021-03-06 15:51:50
66,Belm,15,2021-03-06 15:51:50
67,Benguela,4,2021-03-06 15:51:50
68,Beni-Mellal,62,2021-03-06 15:51:50
69,Benin City,69,2021-03-06 15:51:50
70,Bergamo,49,2021-03-06 15:51:50
71,Berhampore (Baharampur),44,2021-03-06 15:51:50
72,Bern,91,2021-03-06 15:51:50
73,Bhavnagar,44,2021-03-06 15:51:50
74,Bhilwara,44,2021-03-06 15:51:50
75,Bhimavaram,44,2021-03-06 15:51:50
76,Bhopal,44,2021-03-06 15:51:50
77,Bhusawal,44,2021-03-06 15:51:50
78,Bijapur,44,2021-03-06 15:51:50
79,Bilbays,29,2021-03-06 15:51:50
80,Binzhou,23,2021-03-06 15:51:50
81,Birgunj,66,2021-03-06 15:51:50
82,Bislig,75,2021-03-06 15:51:50
83,Blumenau,15,2021-03-06 15:51:50
84,Boa Vista,15,2021-03-06 15:51:50
85,Boksburg,85,2021-03-06 15:51:50
86,Botosani,78,2021-03-06 15:51:50
87,Botshabelo,85,2021-03-06 15:51:50
88,Bradford,102,2021-03-06 15:51:50
89,Braslia,15,2021-03-06 15:51:50
90,Bratislava,84,2021-03-06 15:51:50
91,Brescia,49,2021-03-06 15:51:50
92,Brest,34,2021-03-06 15:51:50
93,Brindisi,49,2021-03-06 15:51:50
94,Brockton,103,2021-03-06 15:51:50
95,Bucuresti,78,2021-03-06 15:51:50
96,Buenaventura,24,2021-03-06 15:51:50
97,Bydgoszcz,76,2021-03-06 15:51:50
98,Cabuyao,75,2021-03-06 15:51:50
99,Callao,74,2021-03-06 15:51:50
100,Cam Ranh,105,2021-03-06 15:51:50
101,Cape Coral,103,2021-03-06 15:51:50
102,Caracas,104,2021-03-06 15:51:50
103,Carmen,60,2021-03-06 15:51:50
104,Cavite,75,2021-03-06 15:51:50
105,Cayenne,35,2021-03-06 15:51:50
106,Celaya,60,2021-03-06 15:51:50
107,Chandrapur,44,2021-03-06 15:51:50
108,Changhwa,92,2021-03-06 15:51:50
109,Changzhou,23,2021-03-06 15:51:50
110,Chapra,44,2021-03-06 15:51:50
111,Charlotte Amalie,106,2021-03-06 15:51:50
112,Chatsworth,85,2021-03-06 15:51:50
113,Cheju,86,2021-03-06 15:51:50
114,Chiayi,92,2021-03-06 15:51:50
115,Chisinau,61,2021-03-06 15:51:50
116,Chungho,92,2021-03-06 15:51:50
117,Cianjur,45,2021-03-06 15:51:50
118,Ciomas,45,2021-03-06 15:51:50
119,Ciparay,45,2021-03-06 15:51:50
120,Citrus Heights,103,2021-03-06 15:51:50
121,Citt del Vaticano,41,2021-03-06 15:51:50
122,Ciudad del Este,73,2021-03-06 15:51:50
123,Clarksville,103,2021-03-06 15:51:50
124,Coacalco de Berriozbal,60,2021-03-06 15:51:50
125,Coatzacoalcos,60,2021-03-06 15:51:50
126,Compton,103,2021-03-06 15:51:50
127,Coquimbo,22,2021-03-06 15:51:50
128,Crdoba,6,2021-03-06 15:51:50
129,Cuauhtmoc,60,2021-03-06 15:51:50
130,Cuautla,60,2021-03-06 15:51:50
131,Cuernavaca,60,2021-03-06 15:51:50
132,Cuman,104,2021-03-06 15:51:50
133,Czestochowa,76,2021-03-06 15:51:50
134,Dadu,72,2021-03-06 15:51:50
135,Dallas,103,2021-03-06 15:51:50
136,Datong,23,2021-03-06 15:51:50
137,Daugavpils,54,2021-03-06 15:51:50
138,Davao,75,2021-03-06 15:51:50
139,Daxian,23,2021-03-06 15:51:50
140,Dayton,103,2021-03-06 15:51:50
141,Deba Habe,69,2021-03-06 15:51:50
142,Denizli,97,2021-03-06 15:51:50
143,Dhaka,12,2021-03-06 15:51:50
144,Dhule (Dhulia),44,2021-03-06 15:51:50
145,Dongying,23,2021-03-06 15:51:50
146,Donostia-San Sebastin,87,2021-03-06 15:51:50
147,Dos Quebradas,24,2021-03-06 15:51:50
148,Duisburg,38,2021-03-06 15:51:50
149,Dundee,102,2021-03-06 15:51:51
150,Dzerzinsk,80,2021-03-06 15:51:51
151,Ede,67,2021-03-06 15:51:51
152,Effon-Alaiye,69,2021-03-06 15:51:51
153,El Alto,14,2021-03-06 15:51:51
154,El Fuerte,60,2021-03-06 15:51:51
155,El Monte,103,2021-03-06 15:51:51
156,Elista,80,2021-03-06 15:51:51
157,Emeishan,23,2021-03-06 15:51:51
158,Emmen,67,2021-03-06 15:51:51
159,Enshi,23,2021-03-06 15:51:51
160,Erlangen,38,2021-03-06 15:51:51
161,Escobar,6,2021-03-06 15:51:51
162,Esfahan,46,2021-03-06 15:51:51
163,Eskisehir,97,2021-03-06 15:51:51
