inventory_id,film_id,store_id,last_update
1,1,1,2021-03-06 15:52:08
2,1,1,2021-03-06 15:52:08
3,1,1,2021-03-06 15:52:08
4,1,1,2021-03-06 15:52:08
5,1,2,2021-03-06 15:52:08
6,1,2,2021-03-06 15:52:08
7,1,2,2021-03-06 15:52:08
8,1,2,2021-03-06 15:52:08
9,2,2,2021-03-06 15:52:08
10,2,2,2021-03-06 15:52:08
11,2,2,2021-03-06 15:52:08
12,3,2,2021-03-06 15:52:08
13,3,2,2021-03-06 15:52:08
14,3,2,2021-03-06 15:52:08
15,3,2,2021-03-06 15:52:09
16,4,1,2021-03-06 15:52:09
17,4,1,2021-03-06 15:52:09
18,4,1,2021-03-06 15:52:09
19,4,1,2021-03-06 15:52:09
20,4,2,2021-03-06 15:52:09
21,4,2,2021-03-06 15:52:09
22,4,2,2021-03-06 15:52:09
23,5,2,2021-03-06 15:52:09
24,5,2,2021-03-06 15:52:09
25,5,2,2021-03-06 15:52:09
26,6,1,2021-03-06 15:52:09
27,6,1,2021-03-06 15:52:09
28,6,1,2021-03-06 15:52:09
29,6,2,2021-03-06 15:52:09
30,6,2,2021-03-06 15:52:09
31,6,2,2021-03-06 15:52:09
32,7,1,2021-03-06 15:52:09
33,7,1,2021-03-06 15:52:09
34,7,2,2021-03-06 15:52:09
35,7,2,2021-03-06 15:52:09
36,7,2,2021-03-06 15:52:09
37,8,2,2021-03-06 15:52:09
38,8,2,2021-03-06 15:52:09
39,8,2,2021-03-06 15:52:09
40,8,2,2021-03-06 15:52:09
41,9,1,2021-03-06 15:52:09
42,9,1,2021-03-06 15:52:09
43,9,1,2021-03-06 15:52:09
44,9,2,2021-03-06 15:52:09
45,9,2,2021-03-06 15:52:09
46,10,1,2021-03-06 15:52:09
47,10,1,2021-03-06 15:52:09
48,10,1,2021-03-06 15:52:09
49,10,1,2021-03-06 15:52:09
50,10,2,2021-03-06 15:52:09
51,10,2,2021-03-06 15:52:09
52,10,2,2021-03-06 15:52:09
53,11,1,2021-03-06 15:52:09
54,11,1,2021-03-06 15:52:09
55,11,1,2021-03-06 15:52:09
56,11,1,2021-03-06 15:52:09
57,11,2,2021-03-06 15:52:09
58,11,2,2021-03-06 15:52:09
59,11,2,2021-03-06 15:52:09
60,12,1,2021-03-06 15:52:09
61,12,1,2021-03-06 15:52:09
62,12,1,2021-03-06 15:52:09
63,12,2,2021-03-06 15:52:09
64,12,2,2021-03-06 15:52:09
65,12,2,2021-03-06 15:52:09
66,12,2,2021-03-06 15:52:09
67,13,2,2021-03-06 15:52:09
68,13,2,2021-03-06 15:52:09
69,13,2,2021-03-06 15:52:09
70,13,2,2021-03-06 15:52:09
71,15,1,2021-03-06 15:52:09
72,15,1,2021-03-06 15:52:09
73,15,2,2021-03-06 15:52:09
74,15,2,2021-03-06 15:52:09
75,15,2,2021-03-06 15:52:09
76,15,2,2021-03-06 15:52:09
77,16,1,2021-03-06 15:52:09
78,16,1,2021-03-06 15:52:09
79,16,2,2021-03-06 15:52:09
80,16,2,2021-03-06 15:52:09
81,17,1,2021-03-06 15:52:09
82,17,1,2021-03-06 15:52:09
83,17,1,2021-03-06 15:52:09
84,17,2,2021-03-06 15:52:09
